"row_ID","Life History stage","Taxon","Habitat","Phylum","Class","Family","Genus","Species","Name","ta_high","ta_low","acclim_window","Proximity of high acclimation temperature to CTMax/ °C","Source","tc_high","ARR","Acclimation duration/ days","collection_latitude","Longitude of collection/ °","Metric","heating_rate","Absolute latitude/°","Latitudinal bin","Mid Bin Latitude/ °","Hemisphere","Absolute northern distribution limit/ °","Absolute southern distribution limit/ °","Minimum hemisphere limit/ °","Maximum hemisphere limit/ °","Latitudinal range size/°","mid latitude/ °","Mean environmental temperature/ °C","Maximum environmental temperature/ °C","CTMax now/ °C","Thermal safety margin/ °C","Time until loss of thermal safety without acclimation, RCP4.5/ years","Time until loss of thermal safety without acclimation, RCP8.5/ years","Time gained until loss of thermal safety with acclimation, RCP4.5/ years","Time gained until loss of thermal safety with acclimation, RCP8.5/ years","% increase in thermal safety (years) gained due to acclimation capacity","Error checked","Reference","doi","Jstor stable ref","ref","url","tc_low","ht_low","ht_high","tau_a_low","tau_a_high","tau_c_low","tau_c_high","lambda","delta_tau_low","delta_tau_high","delta_tr_low","delta_tr_high","delta_tau_high_hat","delta_tau_low_hat"
1,"adult","aquatic invertebrates","marine","Arthropoda","Crustacea","Maxillopoda","Acartia","clausi","Acartia clausi",20,10,10,8,"wild",28,0.15,5,41,-71,"crit",240,41,"mid",37.5,"N",70,24,24,70,46,47,12.089,21.362,26.81335,5.45135,232.9165568,142.2939526,34.93748352,21.34409289,13,2017-02-13,"Gonzalez 1974","doi: 10.1007/BF00391947",NA,NA,NA,26.5,16.5,8,0.0366099212886692,0.0732198425773385,0.0970162914149735,0.102507779608274,0.878638110928062,0.0604063701263042,0.0292879370309354,0.503046337135107,0.402686163639798,0.033948196452046,0.0540678507771375
2,"adult","aquatic invertebrates","marine","Arthropoda","Crustacea","Maxillopoda","Acartia","tonsa","Acartia tonsa",20,10,10,15.5,"wild",35.5,0.87,5,41,-71,"crit",240,41,"mid",37.5,"N",52,-30,0,52,52,26,12.089,21.362,28.61743,7.25543,309.9983993,189.3849804,269.6986074,164.7649329,47,2017-02-13,"Gonzalez 1974","doi: 10.1007/BF00391947",NA,NA,NA,26.8,16.8,15.5,0.0366099212886692,0.0732198425773385,0.0981145890536335,0.129965220574776,0.878638110928062,0.0615046677649643,0.0567453779974373,0.522322468185255,1.23633077689962,0.0347775564529172,0.0883589716361065
3,"adult","reptiles and amphibians","terrestrial","Chordata","Reptilia","Polychrotidae","Anolis","carolinensis","Anolis carolinensis",30,20,10,11.91,"wild",41.91,0.108,7,29,-80,"crit",120,29,"mid",37.5,"N",36.1,18.4,18.4,36.1,17.7,27.25,31.79999924,38,42.10439992,4.104399918,140.4417953,83.26001922,15.16771389,8.992082075,10,2017-02-10,"Corn 1971",NA,"http://www.jstor.org/stable/1562838",NA,NA,40.83,20.83,11.91,0.0732198425773385,0.109829763866008,0.149478308621636,0.153432180120813,0.439319055464031,0.076258466044298,0.0436024162548051,4.73416060886937,4.23030207863735,0.0464801159549401,0.0727423325076622
4,"adult","reptiles and amphibians","terrestrial","Chordata","Reptilia","Polychrotidae","Anolis","distichus","Anolis distichus",30,20,10,10.56,"wild",40.56,0.196,7,29,-80,"crit",120,29,"mid",37.5,"N",26,18,18,26,8,22,31.79999924,38,40.91279985,2.91279985,99.66836771,59.08775371,19.53500007,11.58119973,16,2017-02-10,"Corn 1971",NA,"http://www.jstor.org/stable/1562838",NA,NA,38.6,18.6,10.56,0.0732198425773385,0.109829763866008,0.141314296174263,0.148489840746842,0.439319055464031,0.0680944535969248,0.0386600768808347,3.6361176192908,3.45439177844695,0.039880541988709,0.0665428892864269
5,"adult","reptiles and amphibians","terrestrial","Chordata","Reptilia","Polychrotidae","Anolis","sagrei","Anolis sagrei",30,20,10,11.87,"wild",41.87,0.139,7,29,-80,"crit",120,29,"mid",37.5,"N",30,16,16,23,14,23,31.79999924,38,42.12019989,4.120199894,140.982429,83.58053045,19.59655763,11.61769373,12,2017-02-10,"Corn 1971",NA,"http://www.jstor.org/stable/1562838",NA,NA,40.48,20.48,11.87,0.0732198425773385,0.109829763866008,0.148196961376533,0.153285740435658,0.439319055464031,0.0749771187991946,0.0434559765696504,4.5447673524465,4.2057328591946,0.0454254782798172,0.0725616849498516
6,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Corduliidae","Epitheca","cynosura","Epitheca cynosura",32,28,4,9.738,"wild",41.738,0.079,2,33,-82,"crit",120,33,"mid",37.5,"N",54,27,27,54,27,40,33,33,41.817,8.817,312.4050254,185.4374532,24.67999701,14.6495588,7,2017-04-11,"Garten and Gentry 1976",NA,NA,"Physiol Zool 49(2) 206-213",NA,41.422,13.422,9.738,0.102507779608274,0.117151748123742,0.151645615961926,0.152802489474648,0.439319055464031,0.0491378363536518,0.0356507413509061,4.26503608159676,3.72298987879246,0.0387899938604682,0.0455759947785849
7,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Libellulidae","Ladona","deplanata","Ladona deplanata",32,28,4,10.062,"wild",42.062,0.081,2,33,-82,"crit",120,33,"mid",37.5,"N",41,27,27,41,14,34,33,33,42.143,9.143,323.9558974,192.2938227,26.24042769,15.57579964,7,2017-04-11,"Garten and Gentry 1976",NA,NA,"Physiol Zool 49(2) 206-213",NA,41.738,13.738,10.062,0.102507779608274,0.117151748123742,0.152802489474648,0.153988650924401,0.439319055464031,0.0502947098663738,0.036836902800659,4.45306167625701,3.92221399246013,0.0398174476135067,0.0469268131663588
8,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Corduliidae","Macromia","illinoiensis","Macromia illinoiensis",32,28,4,7.57,"wild",39.57,0.075,2,33,-82,"crit",120,33,"mid",37.5,"N",54,29,29,54,25,41,33,33,39.645,6.645,235.446455,139.7563657,17.65848413,10.48172743,7,2017-04-11,"Garten and Gentry 1976",NA,NA,"Physiol Zool 49(2) 206-213",NA,39.27,11.27,7.57,0.102507779608274,0.117151748123742,0.143767160900604,0.144865458539264,0.439319055464031,0.0412593812923302,0.0277137104155226,3.13466131783401,2.54759529357076,0.0318983247645009,0.0363587186522891
9,"adult","aquatic invertebrates","freshwater","Arthropoda","Insecta","Corduliidae","Neurocordulia","alabamensis","Neurocordulia alabamensis",32,28,4,7.44,"wild",39.44,0.13,2,33,-82,"crit",120,33,"mid",37.5,"N",36,25,25,36,11,31,33,33,39.57,6.57,232.7890458,138.1789801,30.26257596,17.96326741,12,2017-04-11,"Garten and Gentry 1976",NA,NA,"Physiol Zool 49(2) 206-213",NA,38.92,10.92,7.44,0.102507779608274,0.117151748123742,0.142485813655501,0.144389529562511,0.439319055464031,0.0399780340472268,0.0272377814387699,2.97329324149026,2.48508505690646,0.0307961514680363,0.0357949153911919
10,"adult","aquatic invertebrates","freshwater","Platyhelminthes","Turbellaria","Planariidae","Dugesia","dorotocephala","Dugesia dorotocephala",25,5,20,13.4,"lab",38.4,0.3,12,41,-84,"crit",72,41,"mid",37.5,"N",39.5,38.6,38.6,39.5,0.9,39.05,28.8,28.8,39.54,10.74,458.8815285,280.3410258,137.6644585,84.10230775,23,2017-02-10,"Claussen & Walter 1982","doi: 10.1007/BF00016404",NA,NA,NA,32.4,27.4,13.4,0.0183049606443346,0.0915248032216731,0.118616144975288,0.14058209774849,0.263591433278418,0.100311184330954,0.0490572945268168,3.5386818362385,5.20853386730431,0.0392893468387314,0.113403661019513
